索引,文本内容,翻译内容
885,2 x maintenance loot spawner,
886,3 x maintenance loot spawner,
887,4 x maintenance loot spawner,
888,5 x maintenance loot spawner,
889,6 x maintenance loot spawner,
890,7 x maintenance loot spawner,
891,8 x maintenance loot spawner,
892,medical loot spawner,
893,"Doc, gimmie something good.",
894,minor healing spawner,
895,injector spawner,
896,ayylien organ spawner,
897,meme organ spawner,
898,2% chance xeno egg spawner,
899,Surgery tool spawner,
900,Advanced surgery tool spawner,
901,Rare surgery tool spawner,
902,rare medkit spawner,
903,medkit spawner,
904,patient stretcher spawner,
905,medical supplies spawner,
906,MOD module spawner,
907,"Modularize this, please.",
908,maint MOD module spawner,
909,generic circuit board spawner,
910,data disk spawner,
911,INSERT_SPAWNER_NAME spawner,
912,minor healing spawner,
913,minor healing spawner,
914,minor healing spawner,
915,minor healing spawner,
916,minor healing spawner,
917,minor healing spawner,
918,armory loot spawner,
919,armory loot spawner,
920,donk pocket box spawner,
921,donk pocket box spawner,
922,minor healing spawner,
923,minor healing spawner,
924,minor healing spawner,
925,minor healing spawner,
926,minor healing spawner,
927,cigarette butt spawner,
928,botanical waste spawner,
929,large money spawner,
930,locked crate spawner,
931,lootcrate spawner,
932,armory loot spawner,
933,structure spawner,
934,"Now you see me, now you don't...",
935,crate spawner,
936,locked crate spawner,
937,girder spawner,
938,grille spawner,
939,furniture parts spawner,
940,table or rack spawner,
941,table spawner,
942,table spawner,
943,tank holder spawner,
944,empty crate spawner,
945,lootcrate spawner,
946,private closet spawner,
947,empty closet spawner,
948,maintenance closet spawner,
949,flipped chair spawner,
950,comfy chair spawner,
951,maintenance chair spawner,
952,barricade spawner,
953,billboard spawner,
954,Nanotrasen billboard spawner,
955,The Lizards Gas billboard spawner,
956,Gas Station billboard spawner,
957,steam vent spawner,
958,random piano spawner,
959,generic circuit board spawner,
960,data disk spawner,
961,arcade board spawner,
962,service circuit board spawner,
963,RnD circuit board spawner,
964,security circuit board spawner,
965,engineering circuit board spawner,
966,tcomms circuit board spawner,
967,medical circuit board spawner,
968,secure AI circuit board spawner,
969,secure command circuit board spawner,
970,secure RnD circuit board spawner,
971,trash spawner,
972,Ewwwwwww gross.,
973,garbage spawner,
974,cigarette butt spawner,
975,empty food packaging spawner,
976,botanical waste spawner,
977,grille or waste spawner,
978,hobo squat spawner,
979,moisture trap spawner,
980,gross decal spawner,
981,trash and grime spawner,
982,water hazard spawner,
983,random graffiti spawner,
984,mop bucket spawner,
985,caution sign spawner,
986,bucket spawner,
987,soap spawner,
988,box spawner,
989,trashbin spawner,
990,janitor supplies spawner,
991,machinery spawner,
992,Randomized electronics for extra fun.,
993,spawn random snack vending machine,
994,"Automagically transforms into a random snack vendor. If you see this while in a shift, please create a bug report.",
995,spawn random cola vending machine,
996,"Automagically transforms into a random cola vendor. If you see this while in a shift, please create a bug report.",
997,blood sparks,
998,blood jaunt,
999,phase glow,
1000,maw of Nar'Sie,
1001,unholy glow,
1002,unholy glow,
1003,speedbike trails,
1004,ninja shadow,
1005,ninja energy,
1006,shadow,
1007,Bluespace energy wave,
1008,"A massive, rippling wave of bluepace energy, all rapidly exhausting itself the moment it leaves the concentrated beam of light.",
1009,water,
1010,It's a decoy!,
1011,spooky lights,
1012,glowing cracks,
1013,gravity wave,
1014,telekinetic force,
1015,emp sparks,
1016,emp pulse,
1017,bluespace fissure,
1018,healing glow,
1019,kinetic explosion,
1020,explosion,
1021,blob,
1022,desynchronizer field,
1023,heart,
1024,annoyed,
1025,bleed,
1026,beam impact,
1027,laser impact,
1028,laser impact,
1029,disabler impact,
1030,X-ray impact,
1031,pulse impact,
1032,plasma impact,
1033,stun impact,
1034,heavy laser impact,
1035,emitter impact,
1036,solar impact,
1037,muzzle flash,
1038,emitter flash,
1039,pew,
1040,beam,
1041,laser,
1042,disabler,
1043,X-ray laser,
1044,pulse laser,
1045,plasma blast,
1046,stun beam,
1047,heavy laser,
1048,solar beam,
1049,emitter beam,
