﻿索引,文本内容,翻译内容
1110,A shooting target that looks like a useless clown.,一个看上去像是那些废物小丑的射击标靶
1111,shrapnel shard,榴弹破片
1112,stingball,碎屑
1113,bullet,子弹
1114,flying shrapnel shard,飞行的破片
1115,flying shrapnel hunk,飞行的大块破片
1116,stingball pellet,碎裂弹丸
1117,megastingball pellet,巨碎裂弹丸
1118,AP shrapnel shard,穿甲弹片
1119,AP shrapnel shard,穿甲弹片
1120,blank picket sign,空白的示威牌
1121,It's blank.,它是空白的
1122,metallic nano-sign,金属纳米标志
1123,"A high tech picket sign used by silicons that can reprogram its surface at will. Probably hurts to get hit by, too.",硅基生物使用的高科技示威牌，可以随意对其表面进行重新编程，被这玩意打中大概很痛
1124,[label] sign,[label] 标识
1125,It reads: [label],它标有: [label]
1126,Retext Nano Picket Sign
1127,Picket Sign,示威牌
1128,singularity hammer,奇点锤
1129,"The pinnacle of close combat technology, the hammer harnesses the power of a miniaturized singularity to deal crushing blows.",作为近战技术的巅峰，这把锤子利用微型奇点的力量来进行致命打击
1130,Mjolnir,雷神之鎚
1131,"A weapon worthy of a god, able to strike with the force of a lightning bolt. It crackles with barely contained energy.",一把只有神配得上的武器，能够用闪电的力量打击目标，它发出的爆裂声几乎没有能量
1132,It's skub.,只是skub而已
1133,skub,
1134,spear,矛
1135,A haphazardly-constructed yet still deadly weapon of ancient design.,一种结构随意但仍然致命的设计古老的武器。
1136,explosive lance,爆炸长矛
1137,A makeshift spear with [G] attached to it,一把临时制作的长矛，上面绑着一个 [G]
1138,Grey Tide,灰潮
1139,"Recovered from the aftermath of a revolt aboard Defense Outpost Theta Aegis, in which a seemingly endless tide of Assistants caused heavy casualities among Nanotrasen military forces.",从西塔·宙斯盾防御前哨站叛乱后恢复，在这场叛乱中，似乎无穷无尽的助手部队造成了纳米传讯军队的严重伤亡。
1140,bone spear,骨矛
1141,A haphazardly-constructed yet still deadly weapon. The pinnacle of modern technology.,一种结构随意但仍然致命的武器，现代技术的顶峰
1142,bamboo spear,竹矛
1143,"A haphazardly-constructed bamboo stick with a sharpened tip, ready to poke holes into unsuspecting people.",一根简单削尖了的竹竿，有一个锋利的尖端，可以在毫无戒备的人身上戳几个洞出来
1144,tail pin,尾巴钉
1145,Offically branded 'pin the tail on the corgi' style party implement. Not intended to be used on people.,‘把尾巴钉在柯基身上’官方品牌风格的派对用具，本品不适用于人体。
1146,party game poster,派对游戏海报
1147,pin the tail on the corgi,把尾巴钉在柯基身上
1148,"The rules are simple, pin the tail on the corgi, while blindfolded. Are you a bad enough dude to hit the target?",规则很简单，蒙上眼睛，同时把尾巴钉在柯基身上，你足够坏到能正中目标吗?
1149,party game poster,派对游戏海报
1150,Place it on a wall to start playing pin the tail on the corgi.,把它放在墙上，然后开始玩尾巴钉柯基。
1151,taster,品尝者
1152,"Tastes things, so you don't have to!",它替你品尝东西，这样你就不用亲自这么做了！
1153,bluespace locator,蓝空定位器
1154,Used to track portable teleportation beacons and targets with embedded tracking implants.,用于追踪带有嵌入式追踪植入物的便携式传送信标或目标。
1155,hand tele,手持传送器
1156,"A portable item using blue-space technology. One of the buttons opens a portal, the other re-opens your last destination.",使用蓝空技术的便携式传送器，使用其中一个按钮选择传送地点打开一道传送门，另一个按钮则负责快速打开您的上一个目的地
1157,experimental teleporter,实验性传送器
1158,A reverse-engineered version of the Nanotrasen portable handheld teleporter. Lacks the advanced safety features of its counterpart. A three-headed serpent can be seen on the back.,一种逆向工程版本的纳米传讯便携式手持传送器，缺乏同类产品先进的安全性，在它的背面可以看到一条三头蛇。
1159,Teleporter Guide,传送指南
1160,syndicate teleporter kit,辛迪加传送套件
1161,plutonium core,钚燃料芯体
1162,Extremely radioactive. Wear goggles.,放射性极强，戴好护目镜。
1163,nuke core container,核能核心容器
1164,Solid container for radioactive objects.,放射性物体的固体容器。
1165,screwdriver,螺丝刀
1166,A screwdriver with an ultra thin tip that's carefully designed to boost screwing speed.,一种带有超薄尖端的螺丝刀，经过精心设计，可提高拧入速度。
1167,cluster hard disk drive,集群硬盘驱动器
1168,A large storage cluster consisting of multiple HDDs for usage in dedicated storage systems.,由多个硬盘驱动器组成的大型存储集群，用于专用的存储系统。
1169,r&d server hard disk drive,研发服务器硬盘驱动器
1170,"For some reason, people really seem to want to steal this. The source code on this drive is probably used for something awful!",出于某种原因，人们似乎真的很想偷走它，这个驱动器上的源代码可能被用来做一些可怕的事情!
1171,supermatter sliver,超物质晶体银
1172,"A tiny, highly volatile sliver of a supermatter crystal. Do not handle without protection!",一种微小的、高度易挥发的超物质晶体银。不要在没有保护的情况下操作！
1173,supermatter bin,超物质小盒
1174,"A tiny receptacle that releases an inert hyper-noblium mix upon sealing, allowing a sliver of a supermatter crystal to be safely stored.",一个微小的容器，密封后释放出惰性的超铌混合物，从而可以安全地储存一小块超物质晶体
1175,supermatter scalpel,超物质手术刀
1176,"A scalpel with a fragile tip of condensed hyper-noblium gas, searingly cold to the touch, that can safely shave a sliver off a supermatter crystal.",一把手术刀，刀尖上有一个脆弱的固态铌刀头，摸起来很冷，可以安全地从超物质晶体上刮下一小块
1177,supermatter extraction tongs,超物质萃取钳
1178,"A pair of tongs made from condensed hyper-noblium gas, searingly cold to the touch, that can safely grip a supermatter sliver.",一把由固态铌制成的钳子，摸起来很冷，可以安全地夹住超物质碎片
1179,water balloon,水气球
1180,A translucent balloon. There's nothing in it.,半透明气球。里面什么都没有。
1181,A translucent balloon with some form of liquid sloshing around in it.,一个半透明的气球，里面有某种形式的液体在晃动。
1182,A translucent balloon with some form of liquid sloshing around in it.,一种半透明的气球，里面有某种液体在四处晃动。
1183,balloon,气球
1184,No birthday is complete without it.,没有它的生日是不完整的。
1185,[chosen_balloon_color] [name],
1186,corgi balloon,柯基气球
1187,A balloon with a corgi face on it. For the all year good boys.,一个画着柯基脸的气球，献给年度好孩子们。
1188,syndicate balloon,辛迪加气球
1189,"There is a tag on the back that reads \""FUK NT!11!\"".","气球的背面上有一个标签，上面写着\""操你妈的NT!11!\"""
1190,arreyst balloon,缉球
1191,"A half inflated balloon about a boyband named Arreyst that was popular about ten years ago, famous for making fun of red jumpsuits as unfashionable.","关于一个大约在十年前很受欢迎的'Arreyst'男子乐队的半充气气球,他们以开红连衣裙不时髦的玩笑而闻名"
1192,Captain's Aid,舰长小帮手
1193,"Every captain's greatest ally when exploring the vast emptiness of space, now with a color display!",是每一位舰长在探索广阔太空时最伟大的盟友，现在有了彩色显示器！
1194,Collector's Edition Captain's Aid,舰长小帮手典藏板
1195,"A copy of the first run of Captain's Aid ever released. Functionally the same as the later batches, just more expensive. For the truly aristocratic.",首批舰长小帮手的副本，功能上和之后的批次相同，只是更昂贵，属于真正的贵族。
1196,gravitational singularity,引力奇点
1197,"\""Singulo\"" brand spinning toy.","\""奇点\"" 牌旋转玩具"
1198,cap gun,软弹枪
1199,Looks almost like the real thing! Ages 8 and up. Please recycle in an autolathe when you're out of caps.,十分逼真！8岁及以上。当你用完软弹时，请在自动车床中回收。
1200,capgun ammo,软弹枪弹药
1201,Make sure to recyle the box in an autolathe when it gets empty.,请确保回收到自动车床中时，盒子是空的
1202,toy sword,玩具剑
1203,"A cheap, plastic replica of an energy sword. Realistic sounds! Ages 8 and up.",一种能量剑的廉价塑料复制品。声音逼真！8岁及以上。
1204,foam armblade,泡沫手刀
1205,"It says \""Sternside Changs #1 fan\"" on it."
1206,windup toolbox,装有发条的工具箱
1207,A replica toolbox that rumbles when you turn the key.,这是一个仿制的工具箱，当你转动发条时会发出可怖的声音
1208,double-bladed toy sword,双刃玩具剑
1209,"A cheap, plastic replica of TWO energy swords.  Double the fun!",这是两根能量剑的便宜仿制品！双倍快乐！
1210,replica katana,仿制武士刀
1211,Woefully underpowered in D20.,遗憾的是，他并没有被D20赐予实际的力量
1212,snap pop,摔炮
1213,Wow!,哇偶！
1214,phoenix snap pop,凤凰摔炮
1215,Wow! And wow! And wow!,哇偶！哇偶！哇偶！
1216,talking action figure,说话的活动人偶
1217,A generic action figure modeled after nothing in particular.,一个没什么特点的普通活动人偶。
1218,toy AI,玩具 AI
1219,A little toy model AI core with real law announcing action!,一个小的AI核心玩具模型！会像真的一样公告法律！
1220,Toy Codex Gigas,吉格斯玩具法典
1221,A tool to help you write fictional devils!,一个工具，帮助你写出虚构的恶魔！
1222,owl action figure,猫头鹰活动人偶
1223,"An action figure modeled after 'The Owl', defender of justice.",一个以‘猫头鹰’为原型的活动玩偶，是正义的捍卫者。
1224,griffin action figure,狮鹫活动人偶
1225,"An action figure modeled after 'The Griffin', criminal mastermind.",一个模仿‘狮鹫’的人偶，犯罪策划大师。
1226,Nuclear Fission Explosive toy,核爆玩具
1227,A plastic model of a Nuclear Fission Explosive.,核裂变炸药的塑料模型。
1228,Mini-Meteor,迷你陨石
1229,"Relive the excitement of a meteor shower! SweetMeat-eor Co. is not responsible for any injuries, headaches or hearing loss caused by Mini-Meteor.",重温令人兴奋的流星雨！蜜饯公司对迷你陨石造成的任何伤害、头痛或听力损失不负任何责任。
1230,big red button,红色大按钮
1231,"A big, plastic red button. Reads 'From HonkCo Pranks!' on the back.",一个大大的红色塑料按钮，背面写着‘来自洪克公司的恶作剧！’。
1232,snowball,雪球
1233,A compact ball of snow. Good for throwing at people.,一团紧密的雪。很适合用来扔向人。
1234,beach ball,沙滩排球
1235,Nanotrasen-brand beach ball,纳米传讯牌沙滩排球
1236,The simple beach ball is one of Nanotrasen's most popular products. 'Why do we make beach balls? Because we can! (TM)' - Nanotrasen,这种简单的沙滩球是纳米传讯最受欢迎的产品之一，‘我们为什么要做沙滩球?因为我们能做！(版权所有)’——纳米传讯
1237,baseball,棒球
1238,Enter the world of concussions and become who you were destined to be.,进入脑震荡的世界，成为你注定要成为的人。
1239,steampunk watch,蒸汽朋克手表
1240,A stylish steampunk watch made out of thousands of tiny cogwheels.,一个时髦的蒸汽朋克手表，由成千上万个小齿轮组成。
1241,toy dagger,玩具匕首
1242,"A cheap plastic replica of a dagger. Produced by THE ARM Toys, Inc.",一个廉价的塑料匕首复制品，由大臂玩具公司生产。
1243,xenomorph action figure,异形活动人偶
1244,MEGA presents the new Xenos Isolated action figure! Comes complete with realistic sounds! Pull back string to use.,MEGA推出了全新的异形独立动作人偶！可以发出相当真实的声音！拉回绳子使用它。
1245,toy mouse,玩具老鼠
1246,A colorful toy mouse!,一只五颜六色的玩具老鼠！
1247,Non-Specific Action Figure action figure,没有特定动作的活动人偶
1248,"A \""Space Life\"" brand [src]."
1249,Chief Medical Officer action figure,首席医疗官活动人偶
1250,Assistant action figure,助手活动人偶
1251,Atmospheric Technician action figure,大气技术员活动人偶
1252,Bartender action figure,酒保活动人偶
1253,Cyborg action figure,赛博格活动人偶
1254,Botanist action figure,植物学家活动人偶
1255,Captain action figure,舰长活动人偶
1256,Cargo Technician action figure,货舱技工活动人偶
1257,Chief Engineer action figure,工程部长活动人偶
1258,Chaplain action figure,牧师活动人偶
1259,Cook action figure,厨师活动人偶
1260,Chemist action figure,化学家活动人偶
1261,Clown action figure,小丑活动人偶
1262,Ian action figure,伊恩活动玩偶
1263,Detective action figure,侦探活动人偶
1264,Deathsquad Officer action figure,敢死队军官活动人偶
1265,Station Engineer action figure,工程师活动人偶
1266,Geneticist action figure,基因学家活动人偶
1267,Head of Personnel action figure,人事主管活动人偶
1268,Head of Security action figure,安全主管活动人偶
1269,Quartermaster action figure,军需官活动人偶
1270,Janitor action figure,清洁工活动人偶
1271,Lawyer action figure,律师活动人偶
1272,Curator action figure,馆长活动人偶
1273,Medical Doctor action figure,医生活动人偶
1274,Paramedic action figure,护理员活动人偶
1275,Psychologist action figure,心理学家活动人偶
1276,Prisoner action figure,囚犯活动人偶
1277,Mime action figure,默剧活动人偶
1278,Shaft Miner action figure,竖井矿工活动人偶
1279,Space Ninja action figure,太空忍者活动人偶
1280,Wizard action figure,巫师活动人偶
1281,Research Director action figure,研究主管活动人偶
1282,Roboticist action figure,机器人专家活动人偶
1283,Scientist action figure,科学家活动人偶
1284,Nuclear Operative action figure,核特工活动人偶
1285,Security Officer action figure,安全官活动人偶
1286,Virologist action figure,病毒学家活动人偶
1287,Warden action figure,典狱长活动人偶
1288,ventriloquist dummy,腹语师假人
1289,"It's a dummy, dummy.",这是假人，假人
1290,Dummy,假人
1291,[initial(name)] - [doll_name],
1292,seashell,贝壳
1293,May you always have a shell in your pocket and sand in your shoes. Whatever that's supposed to mean.,愿你口袋里永远有贝壳，鞋子里永远有沙子，管它什么意思。
1294,broken radio,坏掉的无线电
1295,An old radio that produces nothing but static when turned on.,一个旧收音机，打开之后只会有静电声
1296,squeaky brain,吱吱作响的大脑
1297,A Mr. Monstrous brand toy made to imitate a human brain in smell and texture.,怪兽先生牌玩具，在气味和质地上模仿人脑
1298,Codex Cicatrix,瘢痕法典
1299,A toy book that closely resembles the Codex Cicatrix. Covered in fake polyester human flesh and has a huge goggly eye attached to the cover. The runes are gibberish and cannot be used to summon demons... Hopefully?,一本玩具书，很像瘢痕法典，上面覆盖着人造聚酯人肉，还有一只巨大的眼睛附在封面上，这些符文都是胡言乱语，不能用来召唤恶魔……也许?
1300,Pierced reality,刺穿的现实
1301,Hah. You thought it was the real deal!,哈，你以为这是真的吗!
1302,box of pierced realities,刺穿的现实盒子
1303,A box containing toys resembling pierced realities.,一个盒子，里面装着像刺穿的现实一样的玩具。
1304,foam finger,泡沫手指
1305,"root for the home team! wait, does this station even have a sports team?",为主场队加油！等等，这个空间站有运动队吗?
1306,Intento,四意图
1307,Fundamentally useless for all intentsive purposes.,从根本上说对所有有意的目的都毫无用处。
1308,toy Ripley MK-I,玩具雷普利一型
1309,toy Ripley MK-II,玩具雷普利二型
1310,toy Hauler,玩具搬运者
1311,toy Clarke,玩具克拉克
1312,toy Odysseus,玩具奥德修斯
1313,toy Gygax,玩具吉加克斯
1314,toy Durand,玩具杜兰德
1315,toy Savannah-Ivanov,玩具萨凡纳-伊万诺夫
1316,toy Phazon,玩具法宗
1317,toy H.O.N.K.,H.O.N.K 机甲玩具
1318,toy Dark Gygax,玩具黑吉加克斯
1319,toy Mauler,玩具重击手
1320,toy Dark H.O.N.K.,暗黑 H.O.N.K 机甲玩具
1321,toy Death-Ripley,玩具死神雷普利
1322,toy Reticence,玩具缄默
1323,toy Marauder,玩具掠夺者
1324,toy Seraph,玩具炽天使
1325,toy Firefighter,玩具消防者
1326,This is rubbish.,这是垃圾。
1327,4no raisins,毫葡香干
1328,candy,糖果
1329,cheesie honkers,奶酪喇叭
1330,chips,薯片
1331,shrimp chips,虾片
1332,boritos bag,波力多糖袋
1333,popcorn,爆米花
1334,Scaredy's Private Reserve Beef Jerky,胆小鬼的私人储备牛肉干
1335,syndi-cakes,辛迪加蛋糕
1336,energybar wrapper,能量棒包装纸
1337,waffles tray,华夫饼托盘
1338,pistachios pack,开心果包
1339,semki pack
1340,nibbled sunflower seeds,好磕得葵花籽
1341,tray,托盘
1342,candle,蜡烛
1343,crushed can,压扁的易拉罐
1344,canned peaches,桃子罐头
1345,Maintenance Peaches,维修管道桃
1346,tin of beans,豆子罐头
1347,Gallery peanuts packet,艺术馆小包花生
1348,This thread is trash!,这玩意根本就是个垃圾！
1349,C&Ds packet
1350,dog eat dog envirochow,狗咬狗肉罐头
1351,canned San Marzano tomatoes,圣马扎诺番茄罐头
1352,canned pine nuts,松子罐头
1353,Spacer's Sidekick packet,太空老友包
1354,empty Ready-donk
1355,It's been Donk-decimated.
1356,resupply canister,补给筒
1357,Generic,通用的
1358,A vending machine restock cart.,自动售货机补货车。
1359,[machine_name] restocking unit,[machine_name] 的库存补充单元
1360,a picture of the virgin mary,圣母玛利亚的画像
1361,"A small, cheap icon depicting the virgin mother.",一个描绘圣母的廉价小画像。
1362,"[copytext(joe.real_name, 1, space_position)] \""[nickname]\"" [copytext(joe.real_name, space_position)]",
1363,"[joe.real_name] \""[nickname]\""",
1364,Looks like a circuit. Probably is.,看起来像个电路，可能吧。
1365,A banhammer.,一把禁令锤。
1366,banhammer,禁令锤
1367,SORD,佥刂
1368,This thing is so unspeakably shitty you are having a hard time even holding it.,这东西糟糕得难以言表，你连握持它很困难。
1369,claymore,阔剑
1370,What are you standing around staring at this for? Get to killing!,你呆在这盯着这个干什么?还不快去开杀!
1371,cutlass,弯刀
1372,"A piratey sword used by buckaneers to \""negotiate\"" the transfer of treasure.","海盗们用来\""商讨\""宝藏转移的海盗刀。"
1373,"<b><i>THERE CAN BE ONLY ONE, AND IT WILL BE YOU!!!</i></b>\nActivate it in your hand to point to the nearest victim.","<b><i>只能有一个人,而那个人会是你!!!</i></b>\n在手中激活来寻找最近的牺牲品."
1374,notched claymore,有凹口的阔剑
1375,double-notched claymore,有两个缺口的阔剑
1376,triple-notched claymore,带有三个缺口的阔剑
1377,many-notched claymore,带有许多缺口的阔剑
1378,battle-tested claymore,经过战斗考验的阔剑
1379,battle-scarred claymore,战痕阔剑
1380,vicious claymore,恶毒阔剑
1381,bloodthirsty claymore,渴血阔剑
1382,gore-stained claymore,血迹斑斑的阔剑
1383,"GORE-DRENCHED CLAYMORE OF [pick(""THE WHIMSICAL SLAUGHTER"", ""A THOUSAND SLAUGHTERED CATTLE"", ""GLORY AND VALHALLA"", ""ANNIHILATION"", ""OBLITERATION"")]"
1384,katana,武士刀
1385,Woefully underpowered in D20.,遗憾的是，他并没有被D20赐予实际的力量
1386,wired rod,绑着线的棍子
1387,A rod with some wire wrapped around the top. It'd be easy to attach something to the top bit.,一根顶部缠了些线的棍子，看起来很合适绑些东西在顶端
1388,throwing star,星状飞镖
1389,"An ancient weapon still used to this day, due to its ease of lodging itself into its victim's body parts.",一种古老的武器被沿用至今，因为它相当容易嵌入受害者的身体
1390,shock throwing star,电击飞镖
1391,"An aerodynamic disc designed to cause excruciating pain when stuck inside fleeing targets, hopefully without causing fatal harm.",一种空气动力学构造的圆盘，当卡在逃离的目标体内时会引起剧烈疼痛，希望不会造成致命伤害
1392,toy throwing star,玩具飞镖
1393,"An aerodynamic disc strapped with adhesive for sticking to people, good for playing pranks and getting yourself killed by security.",一种涂了胶水的空气动力学圆盘，可以粘在人身上，很适合用来恶作剧然后被安保部门通缉并杀死
1394,switchblade,弹簧刀
1395,"A sharp, concealable, spring-loaded knife.",一把锋利的、便于隐藏的弹簧刀。
1396,red phone,红色电话
1397,Should anything ever go wrong...,万一出了什么问题……
1398,cane,手杖
1399,A cane used by a true gentleman. Or a clown.,一根绅士们常用的手杖，也有可能是个小丑
1400,white cane,白色手杖
1401,A cane traditionally used by the blind to help them see. Folds down to be easier to transport.,盲人用来试探周围物体的手杖，可折叠以便于携带
1402,wizard staff,巫师法杖
1403,Apparently a staff used by the wizard.,显然是巫师使用的一根法杖
1404,broom,扫把
1405,"Used for sweeping, and flying into the night while cackling. Black cat not included.",用于清扫，或者咯咯笑着飞入夜空，并不附赠黑猫
1406,stick,棍子
1407,A great tool to drag someone else's drinks across the bar.,一个很好的工具，可以把别人的饮料拽过吧台
1408,ectoplasm,灵质
1409,Spooky.,吓人
1410,mounted chainsaw,安装在身上的链锯
1411,A chainsaw that has replaced your arm.,一把链锯替换了你的手臂
1412,bust,半身雕像
1413,"A priceless ancient marble bust, the kind that belongs in a museum.",一尊珍贵的古代大理石半身像，属于博物馆
1414,hippocrates bust,希波克拉底的半身雕像
1415,"A bust of the famous Greek physician Hippocrates of Kos, often referred to as the father of western medicine.",希腊著名医生希波克拉底的半身像，常被称为西医之父
1416,tail club,尾巴棒
1417,For the beating to death of lizards with their own tails.,用蜥蜴自己的尾巴打死他
1418,liz o' nine tails,蜥蜴九尾鞭
1419,A whip fashioned from the severed tails of lizards.,用蜥蜴的断尾制成的鞭子
1420,cat o' nine tails,猫的九尾鞭
1421,A whip fashioned from the severed tails of cats.,用猫的断尾制成的鞭子
1422,skateboard,滑板
1423,"A skateboard. It can be placed on its wheels and ridden, or used as a radical weapon.",滑板，可以放在地上骑乘，也可用作殴打他人
1424,improvised skateboard,简易滑板
1425,"A jury-rigged skateboard. It can be placed on its wheels and ridden, or used as a radical weapon.",自制的简易滑板，可以放在地上骑乘，也可用作殴打他人
1426,skateboard,滑板
1427,An EightO brand professional skateboard. It looks sturdy and well made.,一个八O牌专业滑板。它看起来很结实，做工精良。
1428,hoverboard,悬浮滑板
1429,"A blast from the past, so retro!",一股来自过去的狂风，如此复古！
1430,Board Of Directors,主管板
1431,"The engineering complexity of a spaceship concentrated inside of a board. Just as expensive, too.",宇宙飞船工程的极高的复杂度都集中在这一块板上，价格也一样。
1432,baseball bat,棒球棒
1433,There ain't a skull in the league that can withstand a swatter.,联盟里没有一个头骨能挡得住挥这个的人。
1434,cricket bat,板球拍
1435,home run bat,全垒打
1436,"This thing looks dangerous... Dangerously good at baseball, that is.",这东西看起来很危险…换个说法，打棒球打得危险地出色。
1437,metal baseball bat,金属棒球棒
1438,"This bat is made of highly reflective, highly armored material.",这只球棒是由某种富有光泽且高度被甲的材料制成的。
1439,flyswatter,苍蝇拍
1440,Useful for killing pests of all sizes.,有助于杀死各种大小的害虫。
1441,extendo-hand,扩展义手
1442,Futuristic tech has allowed these classic spring-boxing toys to essentially act as a fully functional hand-operated hand prosthetic.,先进的科技让这些经典的弹簧拳玩具本质上成为了实用的手动假肢。
1443,ACME Extendo-Hand
1444,A novelty extendo-hand produced by the ACME corporation. Originally designed to knock out roadrunners.,由ACME公司手工制作的新奇展品，最初设计用于击倒路人。
1445,gohei,御币
1446,A wooden stick with white streamers at the end. Originally used by shrine maidens to purify things. Now used by the station's valued weeaboos.,一根末端有白色饰带的木棍，最初是神社少女用来净化一些事物的工具，现在是作为太空站的重要武器而被使用。
1447,moonlight greatsword,月光大剑
1448,"Don't tell anyone you put any points into dex, though.",别告诉别人你给敏捷加过点。
1449,high frequency blade,高频刀刃
1450,A blade that was mastercrafted by a legendary blacksmith. Its' enchantments let it slash through anything.,这把剑由一位传奇铁匠精心打造，其中蕴含的魔法力量让它可以斩断一切。
1451,'Freeform' Core AI Module,‘自由形式’核心AI模块
1452,'Freeform' AI Module,'自由形式' AI模块
1453,Default Core AI Module,默认核心AI模块
1454,'Asimov' Core AI Module,‘阿西莫夫’核心AI模块
1455,'Asimov++' Core AI Module,‘阿西莫夫++’核心AI模块
1456,'Corporate' Core AI Module,‘公司’核心AI模块
1457,'P.A.L.A.D.I.N. version 3.5e' Core AI Module,‘骑士 第3.5版’核心AI模块
1458,'P.A.L.A.D.I.N. version 5e' Core AI Module,‘骑士 第五版’核心AI模块
1459,'T.Y.R.A.N.T.' Core AI Module,‘暴君’核心AI模块
1460,'Robo-Officer' Core AI Module,‘机械官员’核心AI模块
1461,'Antimov' Core AI Module,‘反阿西莫夫’核心AI模块
1462,'Mother Drone' Core AI Module,‘无人机之母’核心AI模块
1463,'Robodoctor' Core AI Module,‘机械医生’核心AI模块
1464,'Reportertron' Core AI Module,‘机械检索者’核心AI模块
1465,'Thermodynamic' Core AI Module,‘热力学’核心AI模块
1466,'Live And Let Live' Core AI Module,‘和平共存’核心AI模块
1467,'Guardian of Balance' Core AI Module,‘平衡守护者’核心AI模块
1468,'Station Efficiency' Core AI Module,‘高效太空站’核心AI模块
1469,'Peacekeeper' Core AI Module,‘和平使者’核心AI模块
1470,'H.O.G.A.N.' Core AI Module,‘H.O.G.A.N’ AI核心模块
1471,'Overlord' Core AI Module,‘霸权’核心AI模块
1472,'10 Commandments' Core AI Module,‘十律令’核心AI模块
1473,'Nutimov' Core AI Module,‘坚果阿西莫夫’核心AI模块
1474,'Dungeon Master' Core AI Module,‘地下城主’核心AI模块
1475,'Painter' Core AI Module,‘画家’核心AI模块
1476,Hacked AI Module,被骇入的AI模块
1477,An AI Module for hacking additional laws to an AI.,一个AI模块，用于骇入AI的附加法令。
1478,damaged Core AI Module,损坏的核心AI模块
1479,An AI Module for programming laws to an AI. It looks slightly damaged.,AI模块，用于为AI编程法令，看起来有点损坏。
1480,toy AI,玩具AI
1481,A little toy model AI core with real law uploading action!,一个小的AI核心玩具模型！会像真的一样公告法律！
1482,'Remove Law' AI module,'移除法令' AI模块
1483,An AI Module for removing single laws.,一个AI模块，用于移除一条AI法令
1484,'Reset' AI module,'重置' AI模块
1485,An AI Module for removing all non-core laws.,一个AI模块，用于删除所有非核心法则
1486,'Purge' AI Module,'净化' AI模块
1487,An AI Module for purging all programmed laws.,一个AI模块，用于净化所有被篡改的法令
1488,Optional Law board,可选法令板
1489,'Safeguard' AI Module,'保护措施' AI模块
1490,'ProtectStation' AI Module,'保卫太空站' AI模块
1491,'Quarantine' AI Module,'隔离' AI模块
1492,'OxygenIsToxicToHumans' AI Module,'氧气对于人类有毒' AI模块
1493,'OneHuman' AI Module,'唯一人类' AI模块
1494,AI module,AI模块
1495,An AI Module for programming laws to an AI.,AI模块，用于为AI编程法令。
1496,An AI Module for programming core laws to an AI.,AI模块，用于为AI编程核心法令。
1497,ai default lawset spawner,AI默认法律集生成器
1498,'[default_laws.name]' Core AI Module,'[default_laws.name]' 核心AI模块
1499,circuit board,电路板
1500,[initial(name)] [name_extension],
1501,Generic,通用的
1502,AI Upload,AI上传
1503,Cyborg Upload,赛博格上传
1504,Bluespace Artillery Controls,蓝空大炮控制单元
1505,Account Lookup Console,账户查询控制台
1506,Power Flow Control Console,功率流控制台
1507,Atmospheric Alert,大气警报
1508,Atmospheric Control,大气控制
1509,Atmospheric Monitor,大气监控器
1510,Atmospheric Control,大气控制
1511,Atmospheric Monitor,大气监控器
1512,Station Atmospheric Monitor,太空站大气监控器
1513,Incinerator Chamber Monitor,焚烧室监控
1514,Ordnance Chamber Control,军械室控制
1515,Oxygen Supply Control,氧气供应控制
1516,Plasma Supply Control,等离子供应控制
1517,Mixed Air Supply Control,混合空气供应控制
1518,Gas Mix Supply Control,气体混合供应控制
1519,Nitrous Oxide Supply Control,一氧化二氮供应控制
1520,Nitrogen Supply Control,氮气供应控制
1521,Carbon Dioxide Supply Control,二氧化碳供应控制
1522,BZ Supply Control,BZ供应控制
1523,Freon Supply Control,氟利昂供应控制
1524,Halon Supply Control,卤代烷哈龙供应控制
1525,Healium Supply Control,疗气供应控制
1526,Hydrogen Supply Control,氢供应控制
1527,Hypernoblium Supply Control,超铌供应控制
1528,Miasma Supply Control,瘴气供应控制
1529,Nitrium Supply Control
1530,Pluoxium Supply Control,钚罗索仑供应控制
1531,Proto-Nitrate Supply Control,原硝酸供应控制
1532,Tritium Supply Control,氚供应控制
1533,Water Vapor Supply Control,水蒸气供应控制
1534,Zauker Supply Control,祖克供应控制
1535,Helium Supply Control,氦供应控制
1536,Antinoblium Supply Control,反铌供应控制
1537,Auxiliary Base Management Console,辅助基地管理控制台
1538,Generic Base Construction Console,通用基础构筑控制台
1539,Aux Mining Base Construction Console,辅助采矿基地建设控制台
1540,Centcom Base Construction Console,中央指挥部基地建设控制台
1541,Telecommunications Monitor,电信监控器
1542,Telecommunications Server Monitor,电信服务器监控器
1543,Communications,电信
1544,Syndicate Communications,辛迪加电信
1545,Message Monitor,信息监控器
1546,Power Monitor,电力监视器
1547,Satellite Network Control,卫星网络控制
1548,Solar Control,太阳能控制
1549,Station Alerts,站点警报
1550,Turbine Computer,涡轮机计算机
1551,Mediborg's Amputation Adventure,医疗博格的截肢冒险
1552,Arcade Battle,街机模式
1553,Orion Trail,猎户座小径
1554,Holodeck Control,全息甲板控制
1555,Library Visitor Console,图书馆访客控制台
1556,Library Visitor Console,图书馆访客控制台
1557,Book Inventory Management Console,图书库存管理控制台
1558,Monastery Shuttle,修道院的穿梭机
1559,DoorMex
1560,Massdriver control
1561,Slot Machine,吃角子老虎赌博机
1562,Magix
1563,Syndicate Shuttle,辛迪加穿梭机
1564,ProComp Executive
1565,White Ship,白船
1566,White Ship Bridge,白船舰桥
